,Lambda,Age,Family_Income_Quantile_2,Family_Income_Quantile_3,Family_Income_Quantile_4,Family_Income_Quantile_5,Fulltime,LSAT,Schl_Ranking_Mean
88,0.8800000000000001,-0.19362568327589114,0.005527674180821876,-0.01754073920162081,-0.031355986881958384,0.08278379699474979,0.13480196907516195,0.6848182096582792,1.3871471722951683
89,0.89,-0.19410231797572375,0.005097034317794955,-0.019253209356400635,-0.033771343276601085,0.08135214561723637,0.13504353277456924,0.6825194472575431,1.3861788680397178
90,0.9,-0.19458335056567727,0.0046231912572829836,-0.02105175970086276,-0.03628157421951904,0.07986222032630684,0.13528456404493167,0.6801851411233371,1.3851744443151037
91,0.9099999999999999,-0.1950629691044914,0.004253786812543796,-0.022708512319362828,-0.038656941830032335,0.0784311308734411,0.13550257109346867,0.6778257447212959,1.3840946407817922
92,0.9200000000000002,-0.19554911668792885,0.0037185195283971095,-0.024622185612617017,-0.04129980253768491,0.07686471764047394,0.13575681578493742,0.6754129179460936,1.3830276579297238
93,0.93,-0.1960373492313971,0.0032386795186446263,-0.02646944950738765,-0.04388647463747457,0.07531383031874692,0.13599204634980203,0.6729768172786524,1.3818908145643918
94,0.9399999999999998,-0.1965230014538484,0.002746199158906678,-0.028356121993430284,-0.04651643688306052,0.07373216000703543,0.13621976138125585,0.6705120997523215,1.3807167779680918
95,0.95,-0.19701432860377593,0.002241639856853461,-0.03026821965231266,-0.049183675641560294,0.07212767129160531,0.1364496352871692,0.6680173096675749,1.3795032807376963
96,0.96,-0.19750792655168378,0.0017288163969607154,-0.03219789787021441,-0.051877644291486245,0.0705021330765922,0.1366776982879979,0.6654921565559395,1.378251521695502
97,0.97,-0.19800094674179197,0.0012038340822136556,-0.034163861801633624,-0.05461295036584336,0.06884853745722888,0.13690160510093907,0.6629416881966097,1.376963402079959
98,0.9800000000000001,-0.1984956853465408,0.0006685859579993244,-0.036157300070993256,-0.057382873574346335,0.06717096850853413,0.13712404167240877,0.6603646407459879,1.37564050085847
99,0.99,-0.19899162331966708,0.00012440126466265535,-0.03817580353601312,-0.060184924627524186,0.06547071750297043,0.13734449901190068,0.6577630429923667,1.374284296231022
100,1.0,-0.19948867865336536,-0.0004284373851458051,-0.04021885119202183,-0.06301725741366346,0.0637489356005135,0.1375625920247312,0.6551371876552795,1.372895177136178
